"","date","hits","keyword","geo","time","gprop","category"
"116",2019-08-01,0,"""backyard chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"117",2019-09-01,0,"""backyard chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"118",2019-10-01,14,"""backyard chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"119",2019-11-01,15,"""backyard chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"120",2019-12-01,15,"""backyard chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"121",2010-01-01,0,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"122",2010-02-01,90,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"123",2010-03-01,42,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"124",2010-04-01,87,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"125",2010-05-01,46,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"126",2010-06-01,48,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"127",2010-07-01,92,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"128",2010-08-01,90,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"129",2010-09-01,44,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"130",2010-10-01,42,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"131",2010-11-01,42,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"132",2010-12-01,0,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"133",2011-01-01,70,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"134",2011-02-01,0,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"135",2011-03-01,55,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"136",2011-04-01,29,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"137",2011-05-01,28,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"138",2011-06-01,58,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"139",2011-07-01,0,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"140",2011-08-01,0,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"141",2011-09-01,26,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"142",2011-10-01,25,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"143",2011-11-01,24,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"144",2011-12-01,24,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"145",2012-01-01,44,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"146",2012-02-01,44,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"147",2012-03-01,42,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"148",2012-04-01,56,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"149",2012-05-01,85,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"150",2012-06-01,36,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"151",2012-07-01,23,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"152",2012-08-01,44,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"153",2012-09-01,21,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"154",2012-10-01,0,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"155",2012-11-01,21,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"156",2012-12-01,20,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"157",2013-01-01,38,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"158",2013-02-01,29,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"159",2013-03-01,44,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"160",2013-04-01,38,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"161",2013-05-01,77,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"162",2013-06-01,100,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"163",2013-07-01,87,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"164",2013-08-01,34,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"165",2013-09-01,35,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"166",2013-10-01,32,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"167",2013-11-01,25,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"168",2013-12-01,33,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"169",2014-01-01,17,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"170",2014-02-01,17,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"171",2014-03-01,48,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"172",2014-04-01,35,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"173",2014-05-01,27,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"174",2014-06-01,52,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"175",2014-07-01,20,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"176",2014-08-01,41,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"177",2014-09-01,0,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"178",2014-10-01,39,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"179",2014-11-01,51,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"180",2014-12-01,32,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"181",2015-01-01,32,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"182",2015-02-01,16,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"183",2015-03-01,30,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"184",2015-04-01,31,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"185",2015-05-01,68,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"186",2015-06-01,16,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"187",2015-07-01,23,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"188",2015-08-01,46,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"189",2015-09-01,23,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"190",2015-10-01,0,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"191",2015-11-01,21,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"192",2015-12-01,21,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"193",2016-01-01,32,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"194",2016-02-01,33,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"195",2016-03-01,55,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"196",2016-04-01,46,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"197",2016-05-01,0,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"198",2016-06-01,16,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"199",2016-07-01,25,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"200",2016-08-01,25,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"201",2016-09-01,0,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"202",2016-10-01,23,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"203",2016-11-01,0,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"204",2016-12-01,0,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"205",2017-01-01,21,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"206",2017-02-01,30,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"207",2017-03-01,39,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"208",2017-04-01,29,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"209",2017-05-01,14,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"210",2017-06-01,15,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"211",2017-07-01,0,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"212",2017-08-01,15,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"213",2017-09-01,14,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"214",2017-10-01,27,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"215",2017-11-01,0,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"216",2017-12-01,27,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"217",2018-01-01,25,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"218",2018-02-01,0,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"219",2018-03-01,13,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"220",2018-04-01,20,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"221",2018-05-01,0,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"222",2018-06-01,28,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"223",2018-07-01,0,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"224",2018-08-01,41,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"225",2018-09-01,0,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"226",2018-10-01,13,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"227",2018-11-01,0,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"228",2018-12-01,13,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"229",2019-01-01,19,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"230",2019-02-01,21,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"231",2019-03-01,20,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"232",2019-04-01,27,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"233",2019-05-01,20,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"234",2019-06-01,28,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"235",2019-07-01,0,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"236",2019-08-01,13,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"237",2019-09-01,12,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"238",2019-10-01,0,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"239",2019-11-01,0,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"240",2019-12-01,18,"""backyard chickens""","US-PA-504","2010-01-01 2019-12-31","web",0
"241",2010-01-01,52,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"242",2010-02-01,22,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"243",2010-03-01,47,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"244",2010-04-01,69,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"245",2010-05-01,28,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"246",2010-06-01,37,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"247",2010-07-01,34,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"248",2010-08-01,32,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"249",2010-09-01,23,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"250",2010-10-01,30,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"251",2010-11-01,28,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"252",2010-12-01,21,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"253",2011-01-01,38,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"254",2011-02-01,41,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"255",2011-03-01,38,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"256",2011-04-01,39,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
"257",2011-05-01,53,"""raising chickens""","US-DC-511","2010-01-01 2019-12-31","web",0
