"id","status","address","address_google","location_type","pnt"
1,"OK","
  3315 Steele RdNewark, DE 19702","3315 Steele Rd, Newark, DE 19702, USA","ROOFTOP",c(-75.779416, 39.5583529)
1,"OK","
  Frankford, DE 19945","Frankford, DE 19945, USA","APPROXIMATE",c(-75.2349107, 38.5173356)
1,"OK","
  595 Silver Run RoadMiddletown, DE 19709","595 Silver Run Rd, Middletown, DE 19709, USA","ROOFTOP",c(-75.6217408, 39.4607548)
1,"OK","
  307 Center Meeting RoadWilmington, DE 19807","307 Center Meeting Rd, Wilmington, DE 19807, USA","ROOFTOP",c(-75.6004169, 39.8203862)
1,"OK","
  19884 Beaver Dam RoadLewes, DE 19958","19884 Beaver Dam Rd, Lewes, DE 19958, USA","ROOFTOP",c(-75.2162325, 38.6950281)
1,"OK","
  23802 Springfield RoadGeorgetown, DE 19947","23802 Springfield Rd, Georgetown, DE 19947, USA","ROOFTOP",c(-75.3324951, 38.6869155)
1,"OK","
  19 Atlantic AvenueOcean View, DE 19970","19 Atlantic Ave, Ocean View, DE 19970, USA","ROOFTOP",c(-75.084681, 38.5435211)
