"","date","hits","keyword","geo","time","gprop","category"
"1",2010-01-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"2",2010-02-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"3",2010-03-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"4",2010-04-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"5",2010-05-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"6",2010-06-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"7",2010-07-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"8",2010-08-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"9",2010-09-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"10",2010-10-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"11",2010-11-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"12",2010-12-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"13",2011-01-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"14",2011-02-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"15",2011-03-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"16",2011-04-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"17",2011-05-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"18",2011-06-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"19",2011-07-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"20",2011-08-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"21",2011-09-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"22",2011-10-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"23",2011-11-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"24",2011-12-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"25",2012-01-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"26",2012-02-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"27",2012-03-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"28",2012-04-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"29",2012-05-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"30",2012-06-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"31",2012-07-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"32",2012-08-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"33",2012-09-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"34",2012-10-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"35",2012-11-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"36",2012-12-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"37",2013-01-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"38",2013-02-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"39",2013-03-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"40",2013-04-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"41",2013-05-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"42",2013-06-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"43",2013-07-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"44",2013-08-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"45",2013-09-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"46",2013-10-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"47",2013-11-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"48",2013-12-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"49",2014-01-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"50",2014-02-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"51",2014-03-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"52",2014-04-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"53",2014-05-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"54",2014-06-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"55",2014-07-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"56",2014-08-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"57",2014-09-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"58",2014-10-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"59",2014-11-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"60",2014-12-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"61",2015-01-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"62",2015-02-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
"63",2015-03-01,0,"""chicken tractor""","US-DC-511","2010-01-01 2019-12-31","web",66
